Scientific Name	Common Name	Species Code	Critical Habitat	Family	First Listed	Species Group	Lead Region	Federal Listing Status	U.S. or ForeignListed	Where Listed
Abies fraseri	Fraser fir	R00B	N/A	Pinaceae	NA	Conifers and Cycads	4	Not Listed	US	
Abies guatemalensis	Guatemalan Fir (=pinabete)	R003	N/A	Pinaceae	Dec 10, 1979	Conifers and Cycads	Foreign	Threatened	Foreign	
Ablautus schlingeri	Oso Flaco robber fly	I0O3	N/A	Asilidae	NA	Insects	1	Not Listed	US	Entire
Abronia alpina	Ramshaw Meadows sand-verbena	Q009	N/A	Nyctaginaceae	NA	Flowering Plants	8	Not Listed	US	
Abronia ammophila	Yellowstone Sand Verbena	Q3LO	N/A	Nyctaginaceae	NA	Flowering Plants	6	Not Listed	US	
Abronia ammophila var.	No common name	Q3LN	N/A	Nyctaginaceae	NA	Flowering Plants	6	Not Listed	US	
Abronia ammphila	[Unnamed] sand-verbena	Q3AM	N/A	Nyctaginaceae	NA	Flowering Plants	6	Not Listed	US	
Abronia bigelovii	[Unnamed] sand-verbena	Q00A	N/A	Nyctaginaceae	NA	Flowering Plants	2	Not Listed	US	
Abronia macrocarpa	Large-fruited sand-verbena	Q24E	N/A	Nyctaginaceae	Sep 28, 1988	Flowering Plants	2	Endangered	US	
Abronia turbinata	[Unnamed] sand-verbena	Q24F	N/A	Nyctaginaceae	NA	Flowering Plants	1	Not Listed	US	
Abronia umbellata acutalata	Rose-purple sand-verbena	Q2WY	N/A	Nyctaginaceae	NA	Flowering Plants	1	Not Listed	US	
Abronia umbellata breviflora	Pink sand-verbena	Q2WZ	N/A	Nyctaginaceae	NA	Flowering Plants	1	Not Listed	US	
Abutilon eremitopetalum	No common name	Q1SJ	17.96(a)	Malvaceae	Sep 20, 1991	Flowering Plants	1	Endangered	US	Entire
Abutilon hulseanum	Terciopelo	Q00B	N/A	Malvaceae	NA	Flowering Plants	4	Not Listed	US	
Abutilon menziesii	Ko`oloa`ula	Q1SK	N/A	Malvaceae	Sep 26, 1986	Flowering Plants	1	Endangered	US	
Abutilon parishii	No common name	Q2YI	N/A	Malvaceae	NA	Flowering Plants	2	Not Listed	US	
Abutilon sandwicense	No common name	Q1SL	17.96(a)	Malvaceae	Oct 29, 1991	Flowering Plants	1	Endangered	US	
Abutilon virginianum	No common name	Q24G	N/A	Malvaceae	NA	Flowering Plants	4	Not Listed	US	
Acacia koaia	Koai`e	Q00D	N/A	Fabaceae	NA	Flowering Plants	1	Not Listed	US	
Acaena exigua	Liliwai	Q1SM	17.96(a)	Rosaceae	May 15, 1992	Flowering Plants	1	Endangered	US	
Acalyptera susanae	[Unnamed] lace bug	I0MM	N/A	Tingidae	NA	Insects	4	Not Listed	US	Entire
Acanthocyclops columbiensis	Copepod	K04S	N/A	Copepoda	NA	Crustaceans	NA	Not Listed		Entire
Acanthometropus pecatonica	Pecatonica River mayfly	I09X	N/A	Siphlonuridae	NA	Insects	3	Not Listed	US	Entire
Acanthomintha ilicifolia	San Diego thornmint	Q00E	17.96(a)	Lamiaceae	Oct 13, 1998	Flowering Plants	8	Threatened	US/Foreign	
Acanthomintha obovata obovata	San Benito thornmint	Q3AN	N/A	Lamiaceae	NA	Flowering Plants	1	Not Listed	US	
Acanthomintha obovata ssp. duttonii	San Mateo thornmint	Q24H	N/A	Lamiaceae	Sep 18, 1985	Flowering Plants	8	Endangered	US	
