Scientific Name	Common Name	Species Code	Population Code	Lead Region	Federal Listing Status	Where Listed
Abies guatemalensis	Guatemalan Fir (=pinabete)	R003	P01	Foreign	Threatened	
Abronia macrocarpa	Large-fruited sand-verbena	Q24E	P01	2	Endangered	
Abutilon eremitopetalum	No common name	Q1SJ	P01	1	Endangered	Entire
Abutilon menziesii	Ko`oloa`ula	Q1SK	P01	1	Endangered	
Abutilon sandwicense	No common name	Q1SL	P01	1	Endangered	
Acaena exigua	Liliwai	Q1SM	P01	1	Endangered	
Acanthomintha ilicifolia	San Diego thornmint	Q00E	P01	8	Threatened	
Acanthomintha obovata ssp. duttonii	San Mateo thornmint	Q24H	P01	8	Endangered	
Acanthorutilus handlirschi	Cicek (minnow)	E00N	V01	Foreign	Endangered	Entire
Accipiter fasciatus natalis	Christmas Island goshawk	B01N	V01	Foreign	Endangered	Entire
Accipiter francesii pusillus	Anjouan Island sparrowhawk	B03A	V01	Foreign	Endangered	Entire
Accipiter gentilis laingi	Queen Charlotte goshawk	B0AE	V02	Foreign	Threatened	British Columbia, Canada
Accipiter striatus venator	Puerto Rican sharp-shinned hawk	B06Z	V01	4	Endangered	Entire
Achatinella spp.	Oahu tree snails	G01J	I01	1	Endangered	Entire
Achyranthes mutica	No common name	Q00G	P01	1	Endangered	
Achyranthes splendens var. rotundata	Round-leaved chaff-flower	Q24I	P01	1	Endangered	
Acinonyx jubatus	Cheetah	A00S	V01	Foreign	Endangered	Entire
Acipenser brevirostrum	Shortnose sturgeon	E00B	V01	NMFS	Endangered	Entire
Acipenser medirostris	green sturgeon	E09K	V01	NMFS	Threatened	Southern DPS - See 50 CFR 223.102
Acipenser mikadoi	Sakhalin sturgeon	E0D5	V01	NMFS	Endangered	Entire
Acipenser naccarii	Adriatic sturgeon	E0CH	V01	NMFS	Endangered	Entire
Acipenser oxyrinchus (=oxyrhynchus) desotoi	Atlantic sturgeon (Gulf subspecies)	E04W	V01	4	Threatened	Entire
Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon	E0A7	V02	NMFS	Threatened	Gulf of Maine DPS - See 50 CFR 223.102
Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon	E0A7	V03	NMFS	Endangered	New York Bight DPS - See 50 CFR 224.101
Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon	E0A7	V04	NMFS	Endangered	Chesapeake Bay DPS - See 50 CFR 224.101
Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon	E0A7	V05	NMFS	Endangered	Carolina DPS - See 50 CFR 224.101
Acipenser oxyrinchus oxyrinchus	Atlantic sturgeon	E0A7	V06	NMFS	Endangered	South Atlantic DPS - See 50 CFR 224.101
Acipenser sinensis	Chinese sturgeon	E0CI	V01	NMFS	Endangered	Entire
Acipenser sturio	European sturgeon	E0CJ	V01	NMFS	Endangered	Entire
Acipenser transmontanus	White sturgeon	E087	V01	1	Endangered	U.S.A. (ID, MT), Canada (B.C.), (Kootenai R. system)
Acmispon dendroideus var. traskiae (=Lotus d. ssp. traskiae)	San Clemente Island lotus (=broom)	Q1YO	P01	8	Threatened	
Aconitum noveboracense	Northern wild monkshood	Q1SN	P01	3	Threatened	Entire
Acrocephalus familiaris kingi	Nihoa millerbird (old world warbler)	B00G	V01	1	Endangered	Entire
Acrocephalus luscinia	Nightingale reed warbler (old world warbler)	B043	V01	1	Endangered	Entire
Acrocephalus percernis aquilonis	Eiao Marquesas reed-Warbler	B0D7	V01	Foreign	Endangered	Entire
Acropora cervicornis	Staghorn coral	P000	I01	NMFS	Threatened	Entire
Acropora globiceps	No common name	P00O	I01	NMFS	Threatened	Entire
